nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:9090].  

  Press Ctrl+C to stop the server
  2026-08-13 09:46:16 /build/assets/separator-1RK1Bc3I.js .......... ~ 1.10ms
  2026-08-13 09:46:16 /build/assets/useFormControl-BRg5RSpq.js ..... ~ 1.25ms
  2026-08-13 09:46:16 /build/assets/useKbd-D5ogEQRo.js ............. ~ 1.35ms
  2026-08-13 09:46:16 /build/assets/dialog-OyJtxarH.js ............. ~ 1.51ms
  2026-08-13 09:46:16 /build/assets/AppLayout-bA2qkYf_.js .......... ~ 1.66ms
  2026-08-13 09:46:16 /build/assets/tooltip-Cz_94xSI.js ............ ~ 1.79ms
  2026-08-13 09:46:16 /build/assets/RovingFocusGroup-sLwXrav5.js ... ~ 1.93ms
  2026-08-13 09:46:16 /build/assets/useWorkspaceRole-CC4ybjcu.js ... ~ 2.02ms
  2026-08-13 09:46:16 /build/assets/input-C_efJ9f2.js .............. ~ 2.12ms
  2026-08-13 09:46:16 /build/assets/app-Ce40fLGO.js ................ ~ 2.27ms
  2026-08-13 09:46:16 /build/assets/bluesky-rpJ3PDxS.js ............ ~ 2.47ms
  2026-08-13 09:46:16 /build/assets/wayfinder-Bh70ToPC.js .......... ~ 2.61ms
  2026-08-13 09:46:16 /build/assets/facebook-DwZ9bqPA.js ........... ~ 2.74ms
  2026-08-13 09:46:16 /build/assets/instagram-facebook-bSSjVdPB.js . ~ 2.88ms
  2026-08-13 09:46:16 /build/assets/linkedin-CQtUfRGO.js ........... ~ 2.94ms
  2026-08-13 09:46:16 /build/assets/mastodon-CdcPKdKc.js ........... ~ 3.09ms
  2026-08-13 09:46:16 /build/assets/welcome-DWPlpLcW.js ............ ~ 3.22ms
  2026-08-13 09:46:16 /build/assets/workspaces-DtMydsUB.js ......... ~ 3.37ms
  2026-08-13 09:46:16 /build/assets/routes-CpuLwph5.js ............. ~ 3.49ms
  2026-08-13 09:46:16 /build/assets/AppLayout-DdDFLSH-.css ......... ~ 3.64ms
  2026-08-13 09:46:16 /build/assets/label-9qEKBa0s.js .............. ~ 3.76ms
  2026-08-13 09:46:16 /build/assets/command-C1qhAQ0W.js ............ ~ 3.94ms
  2026-08-13 09:46:16 /build/assets/ListboxItem-phMBTlsL.js ........ ~ 4.08ms
  2026-08-13 09:46:16 /build/assets/VisuallyHiddenInput-B-X-2RFJ.js  ~ 4.19ms
